issuer_cik,issuer_ticker,owner_name,is_director,is_officer,officer_title,is_ten_percent_owner,security_title,transaction_date,transaction_code,shares,price_per_share,acquired_disposed_code,shares_owned_following,ownership_nature,conversion_or_exercise_price,ticker,filing_date,acceptance_datetime,accession_number,xml_url
0001318605,TSLA,Wilson-Thompson Kathleen,1,0,,0,Non-Qualified Stock Option (right to buy),2026-04-30,M,40948,0.000,D,0,D,14.990,TSLA,2026-05-04,2026-05-04 23:00:15+00:00,0001104659-26-055079,https://www.sec.gov/Archives/edgar/data/1318605/000110465926055079/tm2613330-1_4seq1.xml
0001318605,TSLA,Zhu Xiaotong,0,1,SVP,0,Non-Qualified Stock Option (right to buy),2026-03-31,M,20000,0.0,D,260650,D,20.57,TSLA,2026-04-02,2026-04-03 00:08:52+00:00,0001972928-26-000002,https://www.sec.gov/Archives/edgar/data/1318605/000197292826000002/edgardoc.xml
0001318605,TSLA,Wilson-Thompson Kathleen,1,0,,0,Non-Qualified Stock Option (right to buy),2026-03-30,M,40000,0.000,D,40948,D,14.990,TSLA,2026-04-01,2026-04-01 23:00:13+00:00,0001104659-26-038682,https://www.sec.gov/Archives/edgar/data/1318605/000110465926038682/tm2610684-1_4seq1.xml
0001318605,TSLA,Taneja Vaibhav,0,1,Chief Financial Officer,0,Restricted Stock Unit,2026-03-05,M,6538,0.000,D,65382,D,0.0,TSLA,2026-03-09,2026-03-09 23:00:14+00:00,0001104659-26-025379,https://www.sec.gov/Archives/edgar/data/1318605/000110465926025379/tm268346-1_4seq1.xml
0001318605,TSLA,Wilson-Thompson Kathleen,1,0,,0,Non-Qualified Stock Option (right to buy),2026-02-25,M,40000,0.000,D,80948,D,14.990,TSLA,2026-02-27,2026-02-28 00:00:21+00:00,0001104659-26-021746,https://www.sec.gov/Archives/edgar/data/1318605/000110465926021746/tm267481-1_4seq1.xml
0001318605,TSLA,Zhu Xiaotong,0,1,SVP,0,Non-Qualified Stock Option (right to buy),2026-01-08,A,520021,0.0,A,520021,D,435.8,TSLA,2026-01-12,2026-01-13 00:04:08+00:00,0001972928-26-000001,https://www.sec.gov/Archives/edgar/data/1318605/000197292826000001/edgardoc.xml
0001318605,TSLA,Taneja Vaibhav,0,1,Chief Financial Officer,0,Restricted Stock Unit,2025-12-05,M,6538,0.000,D,71920,D,0.0,TSLA,2025-12-09,2025-12-10 00:00:14+00:00,0001104659-25-119764,https://www.sec.gov/Archives/edgar/data/1318605/000110465925119764/tm2533052-1_4seq1.xml
0001318605,TSLA,Taneja Vaibhav,0,1,Chief Financial Officer,0,Restricted Stock Unit,2025-09-05,M,6538,0.000,D,78458,D,0.0,TSLA,2025-09-09,2025-09-09 23:00:16+00:00,0001104659-25-088703,https://www.sec.gov/Archives/edgar/data/1318605/000110465925088703/tm2525620-1_4seq1.xml
0001318605,TSLA,MURDOCH JAMES R,1,0,,0,Non-Qualified Stock Option (right to buy),2025-07-11,M,90000.00,0,D,0,D,17.470,TSLA,2025-07-15,2025-07-15 23:30:50+00:00,0001104659-25-068165,https://www.sec.gov/Archives/edgar/data/1318605/000110465925068165/tm2520998-1_4seq1.xml
0001318605,TSLA,Taneja Vaibhav,0,1,Chief Financial Officer,0,Non-Qualified Stock Option (right to buy),2025-07-07,M,4000,0.000,D,715920,D,18.22,TSLA,2025-07-09,2025-07-10 00:12:54+00:00,0001104659-25-066775,https://www.sec.gov/Archives/edgar/data/1318605/000110465925066775/tm2520098-1_4seq1.xml
