filingDate,acceptanceDateTime,accessionNumber,primaryDocument,form,ticker
2026-04-15,2026-04-15 22:00:00+00:00,0000789019-26-000070,xslF345X06/form4.xml,4,MSFT
2026-03-16,2026-03-16 22:07:47+00:00,0000789019-26-000066,xslF345X05/form4.xml,4,MSFT
2026-03-13,2026-03-13 22:04:07+00:00,0000789019-26-000064,xslF345X05/form4.xml,4,MSFT
2026-03-13,2026-03-13 22:03:40+00:00,0000789019-26-000063,xslF345X05/form4.xml,4,MSFT
2026-03-13,2026-03-13 22:03:22+00:00,0000789019-26-000062,xslF345X05/form4.xml,4,MSFT
2026-03-13,2026-03-13 22:03:03+00:00,0000789019-26-000061,xslF345X05/form4.xml,4,MSFT
2026-03-13,2026-03-13 22:02:44+00:00,0000789019-26-000060,xslF345X05/form4.xml,4,MSFT
2026-03-13,2026-03-13 22:02:21+00:00,0000789019-26-000059,xslF345X05/form4.xml,4,MSFT
2026-03-13,2026-03-13 22:01:50+00:00,0000789019-26-000058,xslF345X05/form4.xml,4,MSFT
2026-03-13,2026-03-13 22:01:32+00:00,0000789019-26-000057,xslF345X05/form4.xml,4,MSFT
2026-03-09,2026-03-09 22:04:22+00:00,0000789019-26-000048,xslF345X05/form4.xml,4,MSFT
2026-03-03,2026-03-03 23:01:15+00:00,0000789019-26-000046,xslF345X05/form4.xml,4,MSFT
2026-03-03,2026-03-03 23:00:54+00:00,0000789019-26-000045,xslF345X05/form4.xml,4,MSFT
2026-03-03,2026-03-03 23:00:35+00:00,0000789019-26-000044,xslF345X05/form4.xml,4,MSFT
2026-03-03,2026-03-03 23:00:14+00:00,0000789019-26-000043,xslF345X05/form4.xml,4,MSFT
2026-03-03,2026-03-03 22:59:48+00:00,0000789019-26-000042,xslF345X05/form4.xml,4,MSFT
2026-03-03,2026-03-03 22:59:29+00:00,0000789019-26-000041,xslF345X05/form4.xml,4,MSFT
2026-03-03,2026-03-03 22:58:50+00:00,0000789019-26-000040,xslF345X05/form4.xml,4,MSFT
2026-02-18,2026-02-18 23:14:22+00:00,0000789019-26-000028,xslF345X05/form4.xml,4,MSFT
2026-02-17,2026-02-17 23:06:05+00:00,0000789019-26-000026,xslF345X05/form4.xml,4,MSFT
2026-02-03,2026-02-03 23:07:25+00:00,0000789019-26-000024,xslF345X05/form4.xml,4,MSFT
2026-02-03,2026-02-03 23:06:35+00:00,0000789019-26-000023,xslF345X05/form4.xml,4,MSFT
2026-02-03,2026-02-03 23:06:05+00:00,0000789019-26-000022,xslF345X05/form4.xml,4,MSFT
2026-02-03,2026-02-03 23:05:43+00:00,0000789019-26-000021,xslF345X05/form4.xml,4,MSFT
2026-02-03,2026-02-03 23:05:23+00:00,0000789019-26-000020,xslF345X05/form4.xml,4,MSFT
2026-02-03,2026-02-03 23:05:03+00:00,0000789019-26-000019,xslF345X05/form4.xml,4,MSFT
2026-02-03,2026-02-03 23:04:43+00:00,0000789019-26-000018,xslF345X05/form4.xml,4,MSFT
2026-02-03,2026-02-03 23:04:22+00:00,0000789019-26-000017,xslF345X05/form4.xml,4,MSFT
2026-02-03,2026-02-03 23:03:53+00:00,0000789019-26-000016,xslF345X05/form4.xml,4,MSFT
2026-02-03,2026-02-03 23:03:26+00:00,0000789019-26-000015,xslF345X05/form4.xml,4,MSFT
2026-02-03,2026-02-03 23:01:43+00:00,0000789019-26-000014,xslF345X05/form4.xml,4,MSFT
2026-01-15,2026-01-15 23:00:33+00:00,0000789019-26-000002,xslF345X05/form4.xml,4,MSFT
2025-12-16,2025-12-16 23:05:01+00:00,0000789019-25-000133,xslF345X05/form4.xml,4,MSFT
2025-12-16,2025-12-16 23:04:44+00:00,0000789019-25-000132,xslF345X05/form4.xml,4,MSFT
2025-12-12,2025-12-12 23:23:05+00:00,0000789019-25-000129,xslF345X05/form4.xml,4,MSFT
2025-12-12,2025-12-12 23:22:48+00:00,0000789019-25-000128,xslF345X05/form4.xml,4,MSFT
2025-12-12,2025-12-12 23:22:27+00:00,0000789019-25-000127,xslF345X05/form4.xml,4,MSFT
2025-12-12,2025-12-12 23:22:07+00:00,0000789019-25-000126,xslF345X05/form4.xml,4,MSFT
2025-12-12,2025-12-12 23:21:48+00:00,0000789019-25-000125,xslF345X05/form4.xml,4,MSFT
2025-12-12,2025-12-12 23:21:28+00:00,0000789019-25-000124,xslF345X05/form4.xml,4,MSFT
2025-12-12,2025-12-12 23:21:10+00:00,0000789019-25-000123,xslF345X05/form4.xml,4,MSFT
2025-12-12,2025-12-12 23:20:53+00:00,0000789019-25-000122,xslF345X05/form4.xml,4,MSFT
2025-12-12,2025-12-12 23:20:35+00:00,0000789019-25-000121,xslF345X05/form4.xml,4,MSFT
2025-12-12,2025-12-12 23:20:17+00:00,0000789019-25-000120,xslF345X05/form4.xml,4,MSFT
2025-12-05,2025-12-05 23:04:20+00:00,0000789019-25-000106,xslF345X05/form4.xml,4,MSFT
2025-12-05,2025-12-05 23:03:57+00:00,0000789019-25-000105,xslF345X05/form4.xml,4,MSFT
2025-12-05,2025-12-05 23:03:34+00:00,0000789019-25-000104,xslF345X05/form4.xml,4,MSFT
2025-12-05,2025-12-05 23:03:10+00:00,0000789019-25-000103,xslF345X05/form4.xml,4,MSFT
2025-12-05,2025-12-05 23:02:52+00:00,0000789019-25-000102,xslF345X05/form4.xml,4,MSFT
2025-12-05,2025-12-05 23:02:32+00:00,0000789019-25-000101,xslF345X05/form4.xml,4,MSFT
2025-12-05,2025-12-05 23:02:08+00:00,0000789019-25-000100,xslF345X05/form4.xml,4,MSFT
2025-12-05,2025-12-05 23:01:46+00:00,0000789019-25-000099,xslF345X05/form4.xml,4,MSFT
2025-12-05,2025-12-05 23:01:21+00:00,0000789019-25-000098,xslF345X05/form4.xml,4,MSFT
2025-12-05,2025-12-05 23:00:59+00:00,0000789019-25-000097,xslF345X05/form4.xml,4,MSFT
