issuer_cik,issuer_ticker,owner_name,is_director,is_officer,officer_title,is_ten_percent_owner,security_title,transaction_date,transaction_code,shares,price_per_share,acquired_disposed_code,shares_owned_following,ownership_nature,conversion_or_exercise_price,ticker,filing_date,acceptance_datetime,accession_number,xml_url
0001045810,NVDA,HUANG JEN HSUN,1,1,President and CEO,0,Employee Stock Option (Right to Buy),2023-09-14,M,29684,0,D,118750,D,4,NVDA,2023-09-18,2023-09-18 21:00:42+00:00,0001045810-23-000198,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000198/wk-form4_1695070833.xml
0001045810,NVDA,HUANG JEN HSUN,1,1,President and CEO,0,Employee Stock Option (Right to Buy),2023-09-15,M,118750,0,D,0,D,4,NVDA,2023-09-18,2023-09-18 21:00:42+00:00,0001045810-23-000198,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000198/wk-form4_1695070833.xml
0001045810,NVDA,HUANG JEN HSUN,1,1,President and CEO,0,Employee Stock Option (Right to Buy),2023-09-13,M,29688,0,D,148434,D,4,NVDA,2023-09-13,2023-09-14 00:57:52+00:00,0001045810-23-000196,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000196/wk-form4_1694653063.xml
0001045810,NVDA,HUANG JEN HSUN,1,1,President and CEO,0,Employee Stock Option (Right to Buy),2023-09-12,M,29688,0,D,178122,D,4,NVDA,2023-09-13,2023-09-14 00:55:52+00:00,0001045810-23-000195,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000195/wk-form4_1694652942.xml
0001045810,NVDA,HUANG JEN HSUN,1,1,President and CEO,0,Employee Stock Option (Right to Buy),2023-09-11,M,29688,0,D,207810,D,4,NVDA,2023-09-11,2023-09-12 00:01:45+00:00,0001045810-23-000190,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000190/wk-form4_1694476893.xml
0001045810,NVDA,HUANG JEN HSUN,1,1,President and CEO,0,Employee Stock Option (Right to Buy),2023-09-07,M,29688,0,D,356248,D,4,NVDA,2023-09-11,2023-09-11 23:59:38+00:00,0001045810-23-000189,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000189/wk-form4_1694476766.xml
0001045810,NVDA,HUANG JEN HSUN,1,1,President and CEO,0,Employee Stock Option (Right to Buy),2023-09-08,M,118750,0,D,237498,D,4,NVDA,2023-09-11,2023-09-11 23:59:38+00:00,0001045810-23-000189,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000189/wk-form4_1694476766.xml
0001045810,NVDA,HUANG JEN HSUN,1,1,President and CEO,0,Employee Stock Option (Right to Buy),2023-09-06,M,29688,0,D,385936,D,4,NVDA,2023-09-06,2023-09-06 23:55:42+00:00,0001045810-23-000186,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000186/wk-form4_1694044531.xml
0001045810,NVDA,HUANG JEN HSUN,1,1,President and CEO,0,Employee Stock Option (Right to Buy),2023-09-01,M,29688,0,D,445312,D,4,NVDA,2023-09-06,2023-09-06 23:54:41+00:00,0001045810-23-000185,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000185/wk-form4_1694044469.xml
0001045810,NVDA,HUANG JEN HSUN,1,1,President and CEO,0,Employee Stock Option (Right to Buy),2023-09-05,M,29688,0,D,415624,D,4,NVDA,2023-09-06,2023-09-06 23:54:41+00:00,0001045810-23-000185,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000185/wk-form4_1694044469.xml
