issuer_cik,issuer_ticker,owner_name,is_director,is_officer,officer_title,is_ten_percent_owner,security_title,transaction_date,transaction_code,shares,price_per_share,acquired_disposed_code,shares_owned_following,ownership_nature,conversion_or_exercise_price,ticker,filing_date,acceptance_datetime,accession_number,xml_url
0000789019,MSFT,Walmsley Emma N,1,0,,0,Restricted Stock Units,2026-03-12,A,2.507,0,A,1109.675,D,,MSFT,2026-03-13,2026-03-13 22:04:07+00:00,0000789019-26-000064,https://www.sec.gov/Archives/edgar/data/789019/000078901926000064/form4.xml
0000789019,MSFT,Rainey John D,1,0,,0,Restricted Stock Units,2026-03-12,A,0.328,0,A,145.579,D,,MSFT,2026-03-13,2026-03-13 22:03:40+00:00,0000789019-26-000063,https://www.sec.gov/Archives/edgar/data/789019/000078901926000063/form4.xml
0000789019,MSFT,PRITZKER PENNY S,1,0,,0,Restricted Stock Units,2026-03-12,A,31.743,0,A,14050.154,D,,MSFT,2026-03-13,2026-03-13 22:03:22+00:00,0000789019-26-000062,https://www.sec.gov/Archives/edgar/data/789019/000078901926000062/form4.xml
0000789019,MSFT,PETERSON SANDRA E,1,0,,0,Restricted Stock Units,2026-03-12,A,58.507,0,A,25895.897,D,,MSFT,2026-03-13,2026-03-13 22:03:03+00:00,0000789019-26-000061,https://www.sec.gov/Archives/edgar/data/789019/000078901926000061/form4.xml
0000789019,MSFT,MacGregor Catherine,1,0,,0,Restricted Stock Units,2026-03-12,A,4.357,0,A,1928.567,D,,MSFT,2026-03-13,2026-03-13 22:02:44+00:00,0000789019-26-000060,https://www.sec.gov/Archives/edgar/data/789019/000078901926000060/form4.xml
0000789019,MSFT,List Teri,1,0,,0,Restricted Stock Units,2026-03-12,A,52.01,0,A,23020.848,D,,MSFT,2026-03-13,2026-03-13 22:02:21+00:00,0000789019-26-000059,https://www.sec.gov/Archives/edgar/data/789019/000078901926000059/form4.xml
0000789019,MSFT,Johnston Hugh F,1,0,,0,Restricted Stock Units,2026-03-12,A,4.253,0,A,1882.582,D,,MSFT,2026-03-13,2026-03-13 22:01:50+00:00,0000789019-26-000058,https://www.sec.gov/Archives/edgar/data/789019/000078901926000058/form4.xml
0000789019,MSFT,Hoffman Reid,1,0,,0,Restricted Stock Units,2026-03-12,A,37.726,0,A,16698.716,D,,MSFT,2026-03-13,2026-03-13 22:01:32+00:00,0000789019-26-000057,https://www.sec.gov/Archives/edgar/data/789019/000078901926000057/form4.xml
0000789019,MSFT,Rainey John D,1,0,,0,Restricted Stock Units,2026-01-30,A,145.251,0,A,145.251,D,,MSFT,2026-02-03,2026-02-03 23:07:25+00:00,0000789019-26-000024,https://www.sec.gov/Archives/edgar/data/789019/000078901926000024/form4.xml
0000789019,MSFT,Johnston Hugh F,1,0,,0,Restricted Stock Units,2026-01-30,A,244.021,0,A,1878.329,D,,MSFT,2026-02-03,2026-02-03 23:06:35+00:00,0000789019-26-000023,https://www.sec.gov/Archives/edgar/data/789019/000078901926000023/form4.xml
0000789019,MSFT,PRITZKER PENNY S,1,0,,0,Restricted Stock Units,2026-01-30,A,232.401,0,A,14018.411,D,,MSFT,2026-02-03,2026-02-03 23:06:05+00:00,0000789019-26-000022,https://www.sec.gov/Archives/edgar/data/789019/000078901926000022/form4.xml
0000789019,MSFT,MacGregor Catherine,1,0,,0,Restricted Stock Units,2026-01-30,A,238.211,0,A,1924.210,D,,MSFT,2026-02-03,2026-02-03 23:04:43+00:00,0000789019-26-000018,https://www.sec.gov/Archives/edgar/data/789019/000078901926000018/form4.xml
0000789019,MSFT,PETERSON SANDRA E,1,0,,0,Restricted Stock Units,2026-01-30,A,267.262,0,A,25837.390,D,,MSFT,2026-02-03,2026-02-03 23:03:53+00:00,0000789019-26-000016,https://www.sec.gov/Archives/edgar/data/789019/000078901926000016/form4.xml
0000789019,MSFT,Hoffman Reid,1,0,,0,Restricted Stock Units,2026-01-30,A,217.876,0,A,16660.990,D,,MSFT,2026-02-03,2026-02-03 23:03:26+00:00,0000789019-26-000015,https://www.sec.gov/Archives/edgar/data/789019/000078901926000015/form4.xml
0000789019,MSFT,Walmsley Emma N,1,0,,0,Restricted Stock Units,2026-01-30,A,145.251,0,A,1107.168,D,,MSFT,2026-02-03,2026-02-03 23:01:43+00:00,0000789019-26-000014,https://www.sec.gov/Archives/edgar/data/789019/000078901926000014/form4.xml
0000789019,MSFT,Walmsley Emma N,1,0,,0,Restricted Stock Units,2025-12-11,A,1.807,0,A,961.917,D,,MSFT,2025-12-12,2025-12-12 23:23:05+00:00,0000789019-25-000129,https://www.sec.gov/Archives/edgar/data/789019/000078901925000129/form4.xml
0000789019,MSFT,Rodriguez Carlos A,1,0,,0,Restricted Stock Units,2025-12-11,A,8.662,0,A,4610.835,D,,MSFT,2025-12-12,2025-12-12 23:22:48+00:00,0000789019-25-000128,https://www.sec.gov/Archives/edgar/data/789019/000078901925000128/form4.xml
0000789019,MSFT,PRITZKER PENNY S,1,0,,0,Restricted Stock Units,2025-12-11,A,25.899,0,A,13786.01,D,,MSFT,2025-12-12,2025-12-12 23:22:27+00:00,0000789019-25-000127,https://www.sec.gov/Archives/edgar/data/789019/000078901925000127/form4.xml
0000789019,MSFT,PETERSON SANDRA E,1,0,,0,Restricted Stock Units,2025-12-11,A,48.038,0,A,25570.128,D,,MSFT,2025-12-12,2025-12-12 23:22:07+00:00,0000789019-25-000126,https://www.sec.gov/Archives/edgar/data/789019/000078901925000126/form4.xml
0000789019,MSFT,MacGregor Catherine,1,0,,0,Restricted Stock Units,2025-12-11,A,3.166,0,A,1685.999,D,,MSFT,2025-12-12,2025-12-12 23:21:48+00:00,0000789019-25-000125,https://www.sec.gov/Archives/edgar/data/789019/000078901925000125/form4.xml
0000789019,MSFT,List Teri,1,0,,0,Restricted Stock Units,2025-12-11,A,43.15,0,A,22968.837,D,,MSFT,2025-12-12,2025-12-12 23:21:28+00:00,0000789019-25-000124,https://www.sec.gov/Archives/edgar/data/789019/000078901925000124/form4.xml
0000789019,MSFT,Johnston Hugh F,1,0,,0,Restricted Stock Units,2025-12-11,A,3.07,0,A,1634.308,D,,MSFT,2025-12-12,2025-12-12 23:21:10+00:00,0000789019-25-000123,https://www.sec.gov/Archives/edgar/data/789019/000078901925000123/form4.xml
0000789019,MSFT,Hoffman Reid,1,0,,0,Restricted Stock Units,2025-12-11,A,30.891,0,A,16443.114,D,,MSFT,2025-12-12,2025-12-12 23:20:53+00:00,0000789019-25-000122,https://www.sec.gov/Archives/edgar/data/789019/000078901925000122/form4.xml
0000789019,MSFT,PRITZKER PENNY S,1,0,,0,Restricted Stock Units,2025-12-04,A,207.969,0,A,13760.110,D,,MSFT,2025-12-05,2025-12-05 23:03:34+00:00,0000789019-25-000104,https://www.sec.gov/Archives/edgar/data/789019/000078901925000104/form4.xml
0000789019,MSFT,PETERSON SANDRA E,1,0,,0,Restricted Stock Units,2025-12-04,A,239.165,0,A,25522.090,D,,MSFT,2025-12-05,2025-12-05 23:03:10+00:00,0000789019-25-000103,https://www.sec.gov/Archives/edgar/data/789019/000078901925000103/form4.xml
0000789019,MSFT,Hoffman Reid,1,0,,0,Restricted Stock Units,2025-12-04,A,194.971,0,A,16412.223,D,,MSFT,2025-12-05,2025-12-05 23:02:08+00:00,0000789019-25-000100,https://www.sec.gov/Archives/edgar/data/789019/000078901925000100/form4.xml
0000789019,MSFT,MacGregor Catherine,1,0,,0,Restricted Stock Units,2025-12-04,A,194.971,0,A,1682.833,D,,MSFT,2025-12-05,2025-12-05 23:01:46+00:00,0000789019-25-000099,https://www.sec.gov/Archives/edgar/data/789019/000078901925000099/form4.xml
0000789019,MSFT,Walmsley Emma N,1,0,,0,Restricted Stock Units,2025-12-04,A,129.981,0,A,960.110,D,,MSFT,2025-12-05,2025-12-05 23:01:21+00:00,0000789019-25-000098,https://www.sec.gov/Archives/edgar/data/789019/000078901925000098/form4.xml
0000789019,MSFT,Johnston Hugh F,1,0,,0,Restricted Stock Units,2025-12-04,A,218.368,0,A,1631.24,D,,MSFT,2025-12-05,2025-12-05 23:00:59+00:00,0000789019-25-000097,https://www.sec.gov/Archives/edgar/data/789019/000078901925000097/form4.xml
0000789019,MSFT,Rodriguez Carlos A,1,0,,0,Restricted Stock Units,2025-12-04,A,220.967,0,A,4602.173,D,,MSFT,2025-12-05,2025-12-05 23:00:25+00:00,0000789019-25-000096,https://www.sec.gov/Archives/edgar/data/789019/000078901925000096/form4.xml
0000789019,MSFT,Walmsley Emma N,1,0,,0,Restricted Stock Units,2025-09-10,A,124.908,0,A,828.758,D,,MSFT,2025-09-12,2025-09-12 22:11:01+00:00,0000789019-25-000043,https://www.sec.gov/Archives/edgar/data/789019/000078901925000043/form4.xml
0000789019,MSFT,Walmsley Emma N,1,0,,0,Restricted Stock Units,2025-09-11,A,1.372,0,A,830.129,D,,MSFT,2025-09-12,2025-09-12 22:11:01+00:00,0000789019-25-000043,https://www.sec.gov/Archives/edgar/data/789019/000078901925000043/form4.xml
0000789019,MSFT,Rodriguez Carlos A,1,0,,0,Restricted Stock Units,2025-09-10,A,212.343,0,A,4373.961,D,,MSFT,2025-09-12,2025-09-12 22:09:39+00:00,0000789019-25-000040,https://www.sec.gov/Archives/edgar/data/789019/000078901925000040/form4.xml
0000789019,MSFT,Rodriguez Carlos A,1,0,,0,Restricted Stock Units,2025-09-11,A,7.245,0,A,4381.205,D,,MSFT,2025-09-12,2025-09-12 22:09:39+00:00,0000789019-25-000040,https://www.sec.gov/Archives/edgar/data/789019/000078901925000040/form4.xml
0000789019,MSFT,PRITZKER PENNY S,1,0,,0,Restricted Stock Units,2025-09-10,A,199.852,0,A,13529.728,D,,MSFT,2025-09-12,2025-09-12 22:08:41+00:00,0000789019-25-000039,https://www.sec.gov/Archives/edgar/data/789019/000078901925000039/form4.xml
0000789019,MSFT,PRITZKER PENNY S,1,0,,0,Restricted Stock Units,2025-09-11,A,22.413,0,A,13552.141,D,,MSFT,2025-09-12,2025-09-12 22:08:41+00:00,0000789019-25-000039,https://www.sec.gov/Archives/edgar/data/789019/000078901925000039/form4.xml
0000789019,MSFT,PETERSON SANDRA E,1,0,,0,Restricted Stock Units,2025-09-10,A,229.830,0,A,25241.110,D,,MSFT,2025-09-12,2025-09-12 22:08:19+00:00,0000789019-25-000038,https://www.sec.gov/Archives/edgar/data/789019/000078901925000038/form4.xml
0000789019,MSFT,PETERSON SANDRA E,1,0,,0,Restricted Stock Units,2025-09-11,A,41.816,0,A,25282.925,D,,MSFT,2025-09-12,2025-09-12 22:08:19+00:00,0000789019-25-000038,https://www.sec.gov/Archives/edgar/data/789019/000078901925000038/form4.xml
0000789019,MSFT,MacGregor Catherine,1,0,,0,Restricted Stock Units,2025-09-10,A,187.361,0,A,1485.401,D,,MSFT,2025-09-12,2025-09-12 22:06:00+00:00,0000789019-25-000036,https://www.sec.gov/Archives/edgar/data/789019/000078901925000036/form4.xml
0000789019,MSFT,MacGregor Catherine,1,0,,0,Restricted Stock Units,2025-09-11,A,2.46,0,A,1487.862,D,,MSFT,2025-09-12,2025-09-12 22:06:00+00:00,0000789019-25-000036,https://www.sec.gov/Archives/edgar/data/789019/000078901925000036/form4.xml
0000789019,MSFT,Johnston Hugh F,1,0,,0,Restricted Stock Units,2025-09-10,A,209.845,0,A,1410.53,D,,MSFT,2025-09-12,2025-09-12 22:05:38+00:00,0000789019-25-000035,https://www.sec.gov/Archives/edgar/data/789019/000078901925000035/form4.xml
0000789019,MSFT,Johnston Hugh F,1,0,,0,Restricted Stock Units,2025-09-11,A,2.336,0,A,1412.87,D,,MSFT,2025-09-12,2025-09-12 22:05:38+00:00,0000789019-25-000035,https://www.sec.gov/Archives/edgar/data/789019/000078901925000035/form4.xml
0000789019,MSFT,List Teri,1,0,,0,Restricted Stock Units,2025-09-11,A,37.916,0,A,22925.687,D,,MSFT,2025-09-12,2025-09-12 22:05:08+00:00,0000789019-25-000034,https://www.sec.gov/Archives/edgar/data/789019/000078901925000034/form4.xml
0000789019,MSFT,Hoffman Reid,1,0,,0,Restricted Stock Units,2025-09-10,A,187.361,0,A,16190.430,D,,MSFT,2025-09-12,2025-09-12 22:04:43+00:00,0000789019-25-000033,https://www.sec.gov/Archives/edgar/data/789019/000078901925000033/form4.xml
0000789019,MSFT,Hoffman Reid,1,0,,0,Restricted Stock Units,2025-09-11,A,26.821,0,A,16217.251,D,,MSFT,2025-09-12,2025-09-12 22:04:43+00:00,0000789019-25-000033,https://www.sec.gov/Archives/edgar/data/789019/000078901925000033/form4.xml
0000789019,MSFT,Walmsley Emma N,1,0,,0,Restricted Stock Units,2025-06-12,A,1.217,0,A,703.85,D,,MSFT,2025-06-13,2025-06-13 22:02:15+00:00,0001062993-25-011705,https://www.sec.gov/Archives/edgar/data/789019/000106299325011705/form4.xml
0000789019,MSFT,Rodriguez Carlos A,1,0,,0,Restricted Stock Units,2025-06-12,A,7.2,0,A,4161.618,D,,MSFT,2025-06-13,2025-06-13 22:01:57+00:00,0001062993-25-011704,https://www.sec.gov/Archives/edgar/data/789019/000106299325011704/form4.xml
0000789019,MSFT,PRITZKER PENNY S,1,0,,0,Restricted Stock Units,2025-06-12,A,23.063,0,A,13329.876,D,,MSFT,2025-06-13,2025-06-13 22:01:41+00:00,0001062993-25-011703,https://www.sec.gov/Archives/edgar/data/789019/000106299325011703/form4.xml
0000789019,MSFT,PETERSON SANDRA E,1,0,,0,Restricted Stock Units,2025-06-12,A,43.276,0,A,25011.28,D,,MSFT,2025-06-13,2025-06-13 22:01:19+00:00,0001062993-25-011702,https://www.sec.gov/Archives/edgar/data/789019/000106299325011702/form4.xml
0000789019,MSFT,MacGregor Catherine,1,0,,0,Restricted Stock Units,2025-06-12,A,2.245,0,A,1298.04,D,,MSFT,2025-06-13,2025-06-13 22:01:02+00:00,0001062993-25-011701,https://www.sec.gov/Archives/edgar/data/789019/000106299325011701/form4.xml
0000789019,MSFT,List Teri,1,0,,0,Restricted Stock Units,2025-06-12,A,39.601,0,A,22887.771,D,,MSFT,2025-06-13,2025-06-13 22:00:44+00:00,0001062993-25-011700,https://www.sec.gov/Archives/edgar/data/789019/000106299325011700/form4.xml
0000789019,MSFT,Johnston Hugh F,1,0,,0,Restricted Stock Units,2025-06-12,A,2.076,0,A,1200.689,D,,MSFT,2025-06-13,2025-06-13 22:00:26+00:00,0001062993-25-011699,https://www.sec.gov/Archives/edgar/data/789019/000106299325011699/form4.xml
0000789019,MSFT,Hoffman Reid,1,0,,0,Restricted Stock Units,2025-06-12,A,27.689,0,A,16003.069,D,,MSFT,2025-06-13,2025-06-13 22:00:07+00:00,0001062993-25-011698,https://www.sec.gov/Archives/edgar/data/789019/000106299325011698/form4.xml
