filingDate,acceptanceDateTime,accessionNumber,primaryDocument,form,ticker
2022-03-08,2022-03-09 00:36:54+00:00,0001790565-22-000003,xslF345X03/edgardoc.xml,4,TSLA
2022-03-08,2022-03-09 00:32:27+00:00,0001771340-22-000003,xslF345X03/edgardoc.xml,4,TSLA
2022-03-03,2022-03-04 01:39:58+00:00,0001771340-22-000002,xslF345X03/edgardoc.xml,4,TSLA
2022-03-02,2022-03-03 00:57:12+00:00,0001790565-22-000002,xslF345X03/edgardoc.xml,4,TSLA
2022-02-22,2022-02-23 00:02:30+00:00,0001771364-22-000003,xslF345X03/edgardoc.xml,4,TSLA
2022-02-03,2022-02-04 00:38:47+00:00,0001771340-22-000001,xslF345X03/edgardoc.xml,4,TSLA
2022-01-31,2022-02-01 00:37:05+00:00,0001790565-22-000001,xslF345X03/edgardoc.xml,4,TSLA
2022-01-20,2022-01-21 00:39:00+00:00,0001771364-22-000002,xslF345X03/edgardoc.xml,4,TSLA
2022-01-07,2022-01-07 23:37:27+00:00,0000899243-22-001397,xslF345X03/doc4.xml,4,TSLA
2022-01-07,2022-01-07 23:36:21+00:00,0000899243-22-001396,xslF345X03/doc4.xml,4,TSLA
2022-01-04,2022-01-05 02:50:45+00:00,0001771364-22-000001,xslF345X03/edgardoc.xml,4,TSLA
2021-12-29,2021-12-30 02:28:05+00:00,0001790565-21-000017,xslF345X03/edgardoc.xml,4,TSLA
2021-12-28,2021-12-29 01:48:31+00:00,0000899243-21-049993,xslF345X03/doc4.xml,4,TSLA
2021-12-28,2021-12-29 01:47:39+00:00,0000899243-21-049992,xslF345X03/doc4.xml,4,TSLA
2021-12-22,2021-12-23 02:28:07+00:00,0000899243-21-049479,xslF345X03/doc4.xml,4,TSLA
2021-12-22,2021-12-23 02:24:05+00:00,0000899243-21-049477,xslF345X03/doc4.xml,4,TSLA
2021-12-21,2021-12-22 02:52:37+00:00,0000899243-21-049325,xslF345X03/doc4.xml,4,TSLA
2021-12-21,2021-12-22 02:36:14+00:00,0000899243-21-049309,xslF345X03/doc4.xml,4,TSLA
2021-12-21,2021-12-22 01:36:26+00:00,0001771364-21-000016,xslF345X03/edgardoc.xml,4,TSLA
2021-12-16,2021-12-17 01:55:23+00:00,0000899243-21-048679,xslF345X03/doc4.xml,4,TSLA
2021-12-16,2021-12-17 01:52:48+00:00,0000899243-21-048676,xslF345X03/doc4.xml,4,TSLA
2021-12-13,2021-12-14 01:04:28+00:00,0000899243-21-047960,xslF345X03/doc4.xml,4,TSLA
2021-12-13,2021-12-14 01:02:44+00:00,0000899243-21-047959,xslF345X03/doc4.xml,4,TSLA
2021-12-09,2021-12-10 01:21:07+00:00,0000899243-21-047608,xslF345X03/doc4.xml,4,TSLA
2021-12-09,2021-12-10 01:19:57+00:00,0000899243-21-047607,xslF345X03/doc4.xml,4,TSLA
2021-12-07,2021-12-08 02:20:23+00:00,0001790565-21-000016,xslF345X03/edgardoc.xml,4,TSLA
2021-12-07,2021-12-08 02:11:06+00:00,0001771340-21-000013,xslF345X03/edgardoc.xml,4,TSLA
2021-12-07,2021-12-08 02:02:06+00:00,0001771364-21-000015,xslF345X03/edgardoc.xml,4,TSLA
2021-12-02,2021-12-03 02:45:11+00:00,0000899243-21-046681,xslF345X03/doc4.xml,4,TSLA
2021-12-02,2021-12-03 02:43:36+00:00,0000899243-21-046679,xslF345X03/doc4.xml,4,TSLA
2021-11-23,2021-11-24 02:34:33+00:00,0000899243-21-045949,xslF345X03/doc4.xml,4,TSLA
2021-11-23,2021-11-24 02:33:26+00:00,0000899243-21-045947,xslF345X03/doc4.xml,4,TSLA
2021-11-23,2021-11-24 02:32:00+00:00,0000899243-21-045946,xslF345X03/doc4.xml,4,TSLA
2021-11-23,2021-11-24 02:30:17+00:00,0000899243-21-045944,xslF345X03/doc4.xml,4,TSLA
2021-11-19,2021-11-20 00:02:03+00:00,0001771364-21-000014,xslF345X03/edgardoc.xml,4,TSLA
2021-11-16,2021-11-17 01:06:48+00:00,0000899243-21-044924,xslF345X03/doc4.xml,4,TSLA
2021-11-16,2021-11-17 01:02:18+00:00,0000899243-21-044921,xslF345X03/doc4.xml,4,TSLA
2021-11-15,2021-11-16 01:20:14+00:00,0000899243-21-044689,xslF345X03/doc4.xml,4,TSLA
2021-11-15,2021-11-16 01:18:26+00:00,0000899243-21-044687,xslF345X03/doc4.xml,4,TSLA
2021-11-12,2021-11-13 01:28:11+00:00,0000899243-21-044475,xslF345X03/doc4.xml,4,TSLA
2021-11-12,2021-11-12 11:03:56+00:00,0000899243-21-044262,xslF345X03/doc4.xml,4,TSLA
2021-11-12,2021-11-12 11:02:43+00:00,0000899243-21-044261,xslF345X03/doc4.xml,4,TSLA
2021-11-10,2021-11-11 02:49:31+00:00,0000899243-21-044244,xslF345X03/doc4.xml,4,TSLA
2021-11-10,2021-11-11 02:47:47+00:00,0000899243-21-044242,xslF345X03/doc4.xml,4,TSLA
2021-11-10,2021-11-11 02:46:47+00:00,0000899243-21-044241,xslF345X03/doc4.xml,4,TSLA
2021-11-10,2021-11-11 02:45:38+00:00,0000899243-21-044240,xslF345X03/doc4.xml,4,TSLA
2021-11-10,2021-11-11 02:43:15+00:00,0000899243-21-044235,xslF345X03/doc4.xml,4,TSLA
2021-11-10,2021-11-11 02:42:18+00:00,0000899243-21-044232,xslF345X03/doc4.xml,4,TSLA
2021-11-10,2021-11-11 02:37:58+00:00,0000899243-21-044229,xslF345X03/doc4.xml,4,TSLA
2021-11-10,2021-11-11 02:34:13+00:00,0000899243-21-044225,xslF345X03/doc4.xml,4,TSLA
2021-11-10,2021-11-10 23:28:55+00:00,0000899243-21-044077,xslF345X03/doc4.xml,4,TSLA
2021-11-10,2021-11-10 23:23:34+00:00,0000899243-21-044060,xslF345X03/doc4.xml,4,TSLA
